NFT ID,Token Number,background,baseape,baseclothes,earrings,eyes,headwear,mouth,roses,necklace,crypto
1,100.49887217899276 9.23076923076923 5.921052631578947 9.473684210526315 10.714285714285714 11.11111111111111 10.227272727272727 13.333333333333334 10.465116279069766 10.344827586206897 9.67741935483871
2,100.22439667773992 9.23076923076923 5.921052631578947 6.143344709897611 10.588235294117647 11.920529801324504 11.76470588235294 11.538461538461538 11.11111111111111 12.328767123287673 9.67741935483871
3,102.66164910716127 9.67741935483871 5.732484076433121 6.870229007633588 12.67605633802817 10.404624277456648 12.162162162162161 13.333333333333334 10.588235294117647 11.842105263157894 9.375
4,94.53234516448767 9.67741935483871 5.8441558441558445 6.8965517241379315 10.588235294117647 10.465116279069766 10.227272727272727 10.90909090909091 10.344827586206897 9.523809523809524 10.05586592178771
5,97.77854672574126 10.465116279069766 6.428571428571429 6.143344709897611 10.227272727272727 11.39240506329114 11.11111111111111 11.538461538461538 10.344827586206897 10.344827586206897 9.782608695652174
6,98.79728397165435 10.227272727272727 5.921052631578947 6.293706293706294 11.042944785276074 10.404624277456648 12.162162162162161 12 10.344827586206897 10.344827586206897 10.05586592178771
7,94.95963406509061 10.526315789473685 6.122448979591836 6.8965517241379315 10.778443113772456 11.25 10.227272727272727 10.465116279069766 11.842105263157894 12.328767123287673 4.522613065326633
8,96.8612341148798 10 5.8441558441558445 6.293706293706294 10.778443113772456 10.404624277456648 11.688311688311689 10.465116279069766 9.94475138121547 11.76470588235294 9.67741935483871
9,98.2874913965124 10.526315789473685 6.428571428571429 6.870229007633588 10.588235294117647 11.320754716981131 11.688311688311689 10.465116279069766 9.94475138121547 10.285714285714285 10.16949152542373
10,101.02643624120282 9.278350515463918 6.428571428571429 9.72972972972973 10.465116279069766 10.714285714285714 11.76470588235294 11.538461538461538 11.842105263157894 9.89010989010989 9.375
11,99.8709320830022 10.465116279069766 5.921052631578947 7.659574468085106 10.227272727272727 11.25 10.227272727272727 12 10.526315789473685 11.538461538461538 10.05586592178771
12,96.55789650022577 10 5.732484076433121 6.293706293706294 10.112359550561798 10.344827586206897 12.162162162162161 12 10.344827586206897 9.89010989010989 9.67741935483871
13,99.72295357688208 10.404624277456648 5.8441558441558445 6.870229007633588 10.588235294117647 11.920529801324504 10.404624277456648 12.949640287769785 11.842105263157894 9.523809523809524 9.375
14,105.09072830086338 10.465116279069766 6.164383561643836 7.659574468085106 10.714285714285714 11.39240506329114 12 13.333333333333334 11.842105263157894 11.842105263157894 9.67741935483871
15,100.30973299451715 10.227272727272727 6.122448979591836 7.659574468085106 10.778443113772456 10.285714285714285 11.688311688311689 11.25 10.778443113772456 11.842105263157894 9.67741935483871
